timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595243136157,641,POST Login PT,500,Internal Server Error,Thread Group 1-149,text,false,,11739,298,418,418,http://localhost:8084/PersonalTrainer/api/login,641,0,72
1595243136157,640,POST Login PT,500,Internal Server Error,Thread Group 1-85,text,false,,11739,297,418,418,http://localhost:8084/PersonalTrainer/api/login,640,0,70
1595243136142,658,POST Login PT,500,Internal Server Error,Thread Group 1-155,text,false,,11739,298,418,418,http://localhost:8084/PersonalTrainer/api/login,658,0,86
1595243136147,657,POST Login PT,500,Internal Server Error,Thread Group 1-34,text,false,,13832,296,421,421,http://localhost:8084/PersonalTrainer/api/login,657,0,77
1595243136143,663,POST Login PT,500,Internal Server Error,Thread Group 1-14,text,false,,11739,297,421,421,http://localhost:8084/PersonalTrainer/api/login,663,0,84
1595243136156,660,POST Login PT,500,Internal Server Error,Thread Group 1-18,text,false,,11739,296,421,421,http://localhost:8084/PersonalTrainer/api/login,660,0,72
1595243136141,679,POST Login PT,500,Internal Server Error,Thread Group 1-151,text,false,,11739,298,424,425,http://localhost:8084/PersonalTrainer/api/login,679,0,88
1595243136154,670,POST Login PT,500,Internal Server Error,Thread Group 1-164,text,false,,11739,298,429,429,http://localhost:8084/PersonalTrainer/api/login,670,0,75
1595243136139,686,POST Login PT,500,Internal Server Error,Thread Group 1-88,text,false,,11739,297,430,430,http://localhost:8084/PersonalTrainer/api/login,686,0,89
1595243136150,679,POST Login PT,500,Internal Server Error,Thread Group 1-134,text,false,,11739,298,434,434,http://localhost:8084/PersonalTrainer/api/login,679,0,80
1595243136163,674,POST Login PT,500,Internal Server Error,Thread Group 1-173,text,false,,11739,298,443,443,http://localhost:8084/PersonalTrainer/api/login,674,0,83
1595243136150,704,POST Login PT,500,Internal Server Error,Thread Group 1-159,text,false,,11739,298,467,467,http://localhost:8084/PersonalTrainer/api/login,703,0,96
1595243136142,715,POST Login PT,500,Internal Server Error,Thread Group 1-69,text,false,,11739,297,473,473,http://localhost:8084/PersonalTrainer/api/login,715,0,84
1595243136157,702,POST Login PT,500,Internal Server Error,Thread Group 1-100,text,false,,11739,298,474,474,http://localhost:8084/PersonalTrainer/api/login,702,0,69
1595243136143,718,POST Login PT,500,Internal Server Error,Thread Group 1-67,text,false,,11739,297,477,477,http://localhost:8084/PersonalTrainer/api/login,718,0,84
1595243136156,708,POST Login PT,500,Internal Server Error,Thread Group 1-145,text,false,,11739,298,480,480,http://localhost:8084/PersonalTrainer/api/login,708,0,72
1595243136145,727,POST Login PT,500,Internal Server Error,Thread Group 1-133,text,false,,13832,298,485,485,http://localhost:8084/PersonalTrainer/api/login,727,0,85
1595243136159,720,POST Login PT,500,Internal Server Error,Thread Group 1-168,text,false,,11739,298,493,493,http://localhost:8084/PersonalTrainer/api/login,720,0,69
1595243136140,740,POST Login PT,500,Internal Server Error,Thread Group 1-53,text,false,,11739,297,495,495,http://localhost:8084/PersonalTrainer/api/login,740,0,106
1595243136160,726,POST Login PT,500,Internal Server Error,Thread Group 1-169,text,false,,11739,298,498,498,http://localhost:8084/PersonalTrainer/api/login,726,0,69
1595243136140,747,POST Login PT,500,Internal Server Error,Thread Group 1-118,text,false,,11739,298,497,497,http://localhost:8084/PersonalTrainer/api/login,747,0,87
1595243136140,750,POST Login PT,500,Internal Server Error,Thread Group 1-58,text,false,,11739,297,496,496,http://localhost:8084/PersonalTrainer/api/login,749,0,88
1595243136158,735,POST Login PT,500,Internal Server Error,Thread Group 1-147,text,false,,11739,298,495,495,http://localhost:8084/PersonalTrainer/api/login,735,0,71
1595243136148,768,POST Login PT,500,Internal Server Error,Thread Group 1-56,text,false,,11739,297,498,498,http://localhost:8084/PersonalTrainer/api/login,768,0,89
1595243136136,780,POST Login PT,500,Internal Server Error,Thread Group 1-110,text,false,,11739,298,498,498,http://localhost:8084/PersonalTrainer/api/login,780,0,109
1595243136136,781,POST Login PT,500,Internal Server Error,Thread Group 1-78,text,false,,11739,297,497,497,http://localhost:8084/PersonalTrainer/api/login,781,0,91
1595243136158,765,POST Login PT,500,Internal Server Error,Thread Group 1-141,text,false,,11739,298,498,498,http://localhost:8084/PersonalTrainer/api/login,765,0,70
1595243136140,787,POST Login PT,500,Internal Server Error,Thread Group 1-111,text,false,,11739,298,498,498,http://localhost:8084/PersonalTrainer/api/login,787,0,86
1595243136157,772,POST Login PT,500,Internal Server Error,Thread Group 1-21,text,false,,11739,297,497,497,http://localhost:8084/PersonalTrainer/api/login,772,0,69
1595243136137,794,POST Login PT,500,Internal Server Error,Thread Group 1-8,text,false,,11739,297,498,498,http://localhost:8084/PersonalTrainer/api/login,794,0,90
1595243136141,793,POST Login PT,500,Internal Server Error,Thread Group 1-148,text,false,,11739,298,498,498,http://localhost:8084/PersonalTrainer/api/login,793,0,87
1595243136144,792,POST Login PT,500,Internal Server Error,Thread Group 1-23,text,false,,13832,297,499,499,http://localhost:8084/PersonalTrainer/api/login,792,0,84
1595243136157,784,POST Login PT,500,Internal Server Error,Thread Group 1-46,text,false,,11739,297,504,504,http://localhost:8084/PersonalTrainer/api/login,784,0,80
1595243136145,802,POST Login PT,500,Internal Server Error,Thread Group 1-158,text,false,,11739,298,509,509,http://localhost:8084/PersonalTrainer/api/login,802,0,102
1595243136198,754,POST Login PT,500,Internal Server Error,Thread Group 1-236,text,false,,11739,298,508,508,http://localhost:8084/PersonalTrainer/api/login,754,0,22
1595243136143,818,POST Login PT,500,Internal Server Error,Thread Group 1-66,text,false,,11739,297,507,507,http://localhost:8084/PersonalTrainer/api/login,818,0,84
1595243136162,807,POST Login PT,500,Internal Server Error,Thread Group 1-171,text,false,,11739,298,509,509,http://localhost:8084/PersonalTrainer/api/login,807,0,67
1595243136139,831,POST Login PT,500,Internal Server Error,Thread Group 1-122,text,false,,11739,298,509,509,http://localhost:8084/PersonalTrainer/api/login,831,0,90
1595243136157,818,POST Login PT,500,Internal Server Error,Thread Group 1-77,text,false,,11739,297,508,508,http://localhost:8084/PersonalTrainer/api/login,818,0,72
1595243136160,824,POST Login PT,500,Internal Server Error,Thread Group 1-70,text,false,,11739,297,508,508,http://localhost:8084/PersonalTrainer/api/login,824,0,59
1595243136146,842,POST Login PT,500,Internal Server Error,Thread Group 1-81,text,false,,11739,297,507,507,http://localhost:8084/PersonalTrainer/api/login,842,0,76
1595243136144,849,POST Login PT,500,Internal Server Error,Thread Group 1-117,text,false,,11739,298,508,508,http://localhost:8084/PersonalTrainer/api/login,849,0,76
1595243136170,826,POST Login PT,500,Internal Server Error,Thread Group 1-183,text,false,,11739,298,509,509,http://localhost:8084/PersonalTrainer/api/login,826,0,59
1595243136155,859,POST Login PT,500,Internal Server Error,Thread Group 1-30,text,false,,11739,296,533,533,http://localhost:8084/PersonalTrainer/api/login,859,0,67
1595243136145,874,POST Login PT,500,Internal Server Error,Thread Group 1-146,text,false,,11739,298,532,532,http://localhost:8084/PersonalTrainer/api/login,874,0,82
1595243136160,865,POST Login PT,500,Internal Server Error,Thread Group 1-127,text,false,,13832,298,537,537,http://localhost:8084/PersonalTrainer/api/login,865,0,86
1595243136161,865,POST Login PT,500,Internal Server Error,Thread Group 1-170,text,false,,11739,298,538,538,http://localhost:8084/PersonalTrainer/api/login,865,0,68
1595243136137,893,POST Login PT,500,Internal Server Error,Thread Group 1-54,text,false,,11739,297,542,542,http://localhost:8084/PersonalTrainer/api/login,893,0,109
1595243136160,876,POST Login PT,500,Internal Server Error,Thread Group 1-99,text,false,,11739,297,545,545,http://localhost:8084/PersonalTrainer/api/login,876,0,86
1595243136154,885,POST Login PT,500,Internal Server Error,Thread Group 1-128,text,false,,11739,298,546,546,http://localhost:8084/PersonalTrainer/api/login,885,0,77
1595243136147,895,POST Login PT,500,Internal Server Error,Thread Group 1-109,text,false,,11739,298,545,545,http://localhost:8084/PersonalTrainer/api/login,895,0,81
1595243136147,903,POST Login PT,500,Internal Server Error,Thread Group 1-106,text,false,,11739,298,554,554,http://localhost:8084/PersonalTrainer/api/login,903,0,98
1595243136137,915,POST Login PT,500,Internal Server Error,Thread Group 1-22,text,false,,11739,297,554,554,http://localhost:8084/PersonalTrainer/api/login,915,0,110
1595243136135,932,POST Login PT,500,Internal Server Error,Thread Group 1-84,text,false,,11739,297,574,574,http://localhost:8084/PersonalTrainer/api/login,932,0,112
1595243136147,921,POST Login PT,500,Internal Server Error,Thread Group 1-123,text,false,,11739,298,576,576,http://localhost:8084/PersonalTrainer/api/login,921,0,100
1595243136147,927,POST Login PT,500,Internal Server Error,Thread Group 1-13,text,false,,11739,297,589,589,http://localhost:8084/PersonalTrainer/api/login,927,0,100
1595243136160,918,POST Login PT,500,Internal Server Error,Thread Group 1-11,text,false,,11739,297,590,590,http://localhost:8084/PersonalTrainer/api/login,918,0,86
1595243136158,922,POST Login PT,500,Internal Server Error,Thread Group 1-124,text,false,,11739,298,589,589,http://localhost:8084/PersonalTrainer/api/login,922,0,89
1595243136144,941,POST Login PT,500,Internal Server Error,Thread Group 1-65,text,false,,11739,297,588,588,http://localhost:8084/PersonalTrainer/api/login,940,0,103
1595243136135,957,POST Login PT,500,Internal Server Error,Thread Group 1-40,text,false,,13832,297,589,589,http://localhost:8084/PersonalTrainer/api/login,957,0,111
1595243136167,928,POST Login PT,500,Internal Server Error,Thread Group 1-177,text,false,,11739,298,588,588,http://localhost:8084/PersonalTrainer/api/login,928,0,82
1595243136145,952,POST Login PT,500,Internal Server Error,Thread Group 1-132,text,false,,11739,298,587,587,http://localhost:8084/PersonalTrainer/api/login,952,0,104
1595243136136,965,POST Login PT,500,Internal Server Error,Thread Group 1-125,text,false,,11739,298,586,586,http://localhost:8084/PersonalTrainer/api/login,965,0,112
1595243136142,967,POST Login PT,500,Internal Server Error,Thread Group 1-154,text,false,,11739,298,586,586,http://localhost:8084/PersonalTrainer/api/login,967,0,108
1595243136137,976,POST Login PT,500,Internal Server Error,Thread Group 1-98,text,false,,11739,297,585,585,http://localhost:8084/PersonalTrainer/api/login,976,0,112
1595243136141,984,POST Login PT,500,Internal Server Error,Thread Group 1-153,text,false,,11739,298,585,585,http://localhost:8084/PersonalTrainer/api/login,984,0,110
1595243136137,990,POST Login PT,500,Internal Server Error,Thread Group 1-130,text,false,,11739,298,584,584,http://localhost:8084/PersonalTrainer/api/login,990,0,113
1595243136168,963,POST Login PT,500,Internal Server Error,Thread Group 1-180,text,false,,11739,298,584,584,http://localhost:8084/PersonalTrainer/api/login,963,0,83
1595243136140,995,POST Login PT,500,Internal Server Error,Thread Group 1-59,text,false,,11739,297,583,583,http://localhost:8084/PersonalTrainer/api/login,995,0,108
1595243136140,997,POST Login PT,500,Internal Server Error,Thread Group 1-104,text,false,,11739,298,582,582,http://localhost:8084/PersonalTrainer/api/login,997,0,109
1595243136149,993,POST Login PT,500,Internal Server Error,Thread Group 1-76,text,false,,11739,297,582,582,http://localhost:8084/PersonalTrainer/api/login,993,0,101
1595243136137,1021,POST Login PT,500,Internal Server Error,Thread Group 1-24,text,false,,11739,297,588,588,http://localhost:8084/PersonalTrainer/api/login,1021,0,113
1595243136136,1022,POST Login PT,500,Internal Server Error,Thread Group 1-10,text,false,,13832,297,589,589,http://localhost:8084/PersonalTrainer/api/login,1022,0,113
1595243136140,1020,POST Login PT,500,Internal Server Error,Thread Group 1-119,text,false,,11739,298,590,590,http://localhost:8084/PersonalTrainer/api/login,1020,0,110
1595243136169,997,POST Login PT,500,Internal Server Error,Thread Group 1-181,text,false,,11739,298,590,590,http://localhost:8084/PersonalTrainer/api/login,997,0,83
1595243136136,1036,POST Login PT,500,Internal Server Error,Thread Group 1-12,text,false,,11739,297,604,604,http://localhost:8084/PersonalTrainer/api/login,1036,0,115
1595243136140,1032,POST Login PT,500,Internal Server Error,Thread Group 1-60,text,false,,11739,297,604,604,http://localhost:8084/PersonalTrainer/api/login,1032,0,111
1595243136152,1028,POST Login PT,500,Internal Server Error,Thread Group 1-61,text,false,,11739,297,613,613,http://localhost:8084/PersonalTrainer/api/login,1028,0,99
1595243136145,1042,POST Login PT,500,Internal Server Error,Thread Group 1-73,text,false,,11739,297,622,622,http://localhost:8084/PersonalTrainer/api/login,1042,0,106
1595243136172,1025,POST Login PT,500,Internal Server Error,Thread Group 1-185,text,false,,11739,298,622,622,http://localhost:8084/PersonalTrainer/api/login,1025,0,79
1595243136151,1051,POST Login PT,500,Internal Server Error,Thread Group 1-160,text,false,,11739,298,622,622,http://localhost:8084/PersonalTrainer/api/login,1051,0,101
1595243136254,957,POST Login PT,500,Internal Server Error,Thread Group 1-265,text,false,,11739,298,626,626,http://localhost:8084/PersonalTrainer/api/login,957,0,1
1595243136253,958,POST Login PT,500,Internal Server Error,Thread Group 1-266,text,false,,11739,298,625,625,http://localhost:8084/PersonalTrainer/api/login,958,0,1
1595243136137,1078,POST Login PT,500,Internal Server Error,Thread Group 1-90,text,false,,11739,297,628,628,http://localhost:8084/PersonalTrainer/api/login,1078,0,114
1595243136253,966,POST Login PT,500,Internal Server Error,Thread Group 1-264,text,false,,11739,298,627,627,http://localhost:8084/PersonalTrainer/api/login,966,0,1
1595243136255,971,POST Login PT,500,Internal Server Error,Thread Group 1-267,text,false,,11739,298,627,627,http://localhost:8084/PersonalTrainer/api/login,971,0,0
1595243136167,1061,POST Login PT,500,Internal Server Error,Thread Group 1-176,text,false,,11739,298,629,629,http://localhost:8084/PersonalTrainer/api/login,1061,0,85
1595243136167,1063,POST Login PT,500,Internal Server Error,Thread Group 1-178,text,false,,13832,298,632,632,http://localhost:8084/PersonalTrainer/api/login,1063,0,85
1595243136173,1064,POST Login PT,500,Internal Server Error,Thread Group 1-186,text,false,,11739,298,637,637,http://localhost:8084/PersonalTrainer/api/login,1064,0,79
1595243136170,1069,POST Login PT,500,Internal Server Error,Thread Group 1-182,text,false,,11739,298,640,640,http://localhost:8084/PersonalTrainer/api/login,1069,0,82
1595243136167,1080,POST Login PT,500,Internal Server Error,Thread Group 1-179,text,false,,11739,298,651,651,http://localhost:8084/PersonalTrainer/api/login,1080,0,83
1595243136148,1100,POST Login PT,500,Internal Server Error,Thread Group 1-17,text,false,,11739,297,655,655,http://localhost:8084/PersonalTrainer/api/login,1100,0,101
